-24,263,0
2,225,0
-105,11,1
154,88,0
-116,194,0
146,206,1
174,180,1
-80,122,1
156,154,0
0,0,0
-161,89,1
-136,124,1
232,22,1
232,70,1
146,170,1
-162,187,1
-177,185,1
-12,114,0
206,86,0
108,165,1
-198,-3,1
-234,88,0
0,0,1
0,0,1
110,145,1
58,55,1
56,246,0
-140,139,0
-34,138,1
129,41,1
2,203,0
20,20,1
105,167,1
-223,9,0
159,66,0
92,157,1
207,6,0
-60,194,0
-27,258,1
-8,108,0
-8,22,0
21,17,1
18,19,1
78,178,0
18,17,0
23,23,1
4,154,1
1,178,1
-2,22,0
138,121,0
-78,176,1
7,268,1
24,11,1
173,296,0
-134,26,0
-158,214,0
-174,192,0
-185,178,1
-93,176,0
147,124,0
10,20,0
236,0,1
-125,230,1
45,15,0
-90,7,1
-18,3,1
-92,179,0
-147,206,0
18,15,1
28,6,0
2,140,0
-4,140,1
77,190,1
-146,309,0
-24,9,0
0,0,1
113,14,0
204,143,1
135,102,0
-168,14,0
53,258,0
-19,12,1
54,23,0
56,272,0
-127,118,0
-15,15,0
155,217,1
-32,214,0
1,261,0
39,104,0
-109,242,1
195,-5,1
226,6,1
-48,71,1
198,184,1
89,167,0
-125,126,1
-76,255,1
45,265,0
160,140,1
159,115,0
168,224,0
-187,0,0
45,263,0
-158,216,0
-13,30,0
233,-6,1
144,7,1
177,6,0
-34,255,0
-166,-11,1
-93,176,0
-7,7,0
10,255,0
-229,42,1
-82,257,1
-101,172,1
-182,0,1
-40,39,1
64,238,1
176,211,1
147,142,0
-209,450,0
-60,20,0
111,0,1
-188,192,1
-73,170,0
53,37,1
-196,197,0
-228,19,0
1,31,1
-220,159,0
-7,-8,1
-4,156,0
-86,156,0
7,15,1
-8,1,0
80,250,1
-79,209,0
173,187,1
0,0,1
94,50,0
-169,173,0
31,80,0
0,0,1
-92,190,0
-2,93,1
0,201,1
-180,113,1
119,-16,0
-125,261,0
78,146,0
48,124,0
-106,56,0
0,244,0
89,56,0
4,183,0
24,250,1
